page_id,page_name,trade,all_trades,gate_passed,gate_reason,total_score,money_score,urgency_score,fit_score,share_message,share_call,dominant_cta,ad_texts_sample
844785852052196,George Jones Appliance Repair,appliance_repair,"cleaning, appliance_repair",True,CALL,42,8,25,9,0.0,100.0,CALL_NOW,"Is your washer, dryer, or fridge acting up and turning your day upside down? 🧺❄️

Don’t wait until you’re out of clean clothes or your food starts to warm up—George Jones Appliance Repair Services is here to help with professional repairs.

📍 Serving Griffin, GA and surrounding areas  

📞 Call/Text: [770-229-6204]  

📧 service.georgejonesrepair@gmail.com

#gjarsgeoria
#localappliancepros
#ApplianceRepairNearMe
#homeappliancerepair
#supportlocal
#SurroundingCounties
#customerservice
#customerrevi"
100455246425179,You Have it Maid Cleaning Service ,cleaning,cleaning,True,MESSAGE,41,8,27,6,100.0,0.0,MESSAGE_PAGE,"👋Hello and good evening, everyone! 🌃 
My website is back up and running!! The link is a little different, but I have updated it on my business profile and will be using the new site link from now on. As always, feel free to reach out via 📱 @704-964-2796 (text or call), and I have residential and commercial quote forms available on my website: www.youhaveitmaidcleaningservice.net | Home | You Have it Maid! Cl"
152640558098758,BSD,windows_doors,windows_doors,True,MESSAGE,39,10,25,4,100.0,0.0,MESSAGE_PAGE,"This year marks 40 years in business at BSD, and we’re honored to share that we’ve been named an Elite Dealer by Andersen Windows. We are the only dealer in our region to receive this recognition and one of just 20 in the United States. @andersen_windows_pros"
232635353261905,McElhinney Painting and Restoration,painting,"cleaning, painting",True,CALL,38,7,25,6,0.0,100.0,CALL_NOW,"McElhinney Painting and Restoration, Family-Owned for Generations, Over 50 years of painting experience, delivered with an old-school work ethic: show up on time, work clean, finish right.

New Year, New Look Special: 20% off hourly labor rates for the first three months of the year. | McElhinney Painting and Restoration | Family owned and operated island business with over 50 years of painting experience. Quality painting, competitive prices, combined with a timely and efficient old school work"
104333538385358,HEM Fence & Construction LLC,fencing,"general_contractor, fencing",True,MESSAGE,37,8,25,4,100.0,0.0,MESSAGE_PAGE,#fence #woodfence #chainlink #ironfence #customfence #gates #gateoperators #CallNow #smallbusiness #arkansas #littlerock #bentonarkansas #sherwoodarkansas #jacksonvillearkansas #sheridanarkansas #bryantarkansas #northlittlerockarkansas #maumellearkansas
110451411441057,Allied Roofing Solutions,roofing,"roofing, general_contractor",True,FORM,33,8,12,13,0.0,0.0,GET_QUOTE,"Looking for expert roof replacements? Allied Roofing Solutions has been installing top-quality, durable roofs across New Jersey since 2007. With over a decade of experience, our skilled team uses the best materials and craftsmanship to protect your home for years to come, all while enhancing its curb appeal. Backed by top ratings from the Better Business Bureau and hundreds of 5-star reviews, you can trust us to get the job done right. Get a free estimate today and enjoy $750 off your new roof!
"
105876271645828,Positively Clean,cleaning,cleaning,True,FORM,31,8,12,11,0.0,0.0,GET_QUOTE,"✨ Ready for a spotless home without lifting a finger?

After a long day at work, kids' sports, and preparing dinner, there's not enough time or energy left for housecleaning. Let Positively Clean handle it for you.

Our screened and trained employees will take the pressure off so you can relax at the end of the day. Come home to a spotless space and enjoy your time with what matters most.

✅ Locally Owned & Operated
✅ Background-Checked Technicians
✅ Fully Bonded & Insured

📍 Serving the East Al"
165333373513645,AMW Roofing & Construction,roofing,"roofing, general_contractor, flooring",True,FORM,28,10,12,6,0.0,0.0,SIGN_UP,"AMW Roofing & Construction provides trusted residential & commercial roofing and construction services throughout Katy & West Houston. With over 20 years of experience, we help homeowners and business owners protect, restore, and upgrade their properties — while making sure insurance covers what it should.

✔ Roofing & full construction
✔ Flooring, kitchen & bath remodels
✔ Insurance claim assistance
✔ Fast, honest, local service

📞 Call or Text Aaron: 281-995-4067
🌐 www.amwcr.com
👉 Book your FR"
535301179946142,Astro Exterminating,pest_control,pest_control,True,FORM,26,16,10,0,0.0,0.0,GET_QUOTE,{{product.brand}} | {{product.brand}} | {{product.brand}} | {{product.brand}} | {{product.name}} | {{product.name}} | {{product.name}} | {{product.name}} | {{product.description}} | {{product.description}} | {{product.description}} | {{product.description}}
495862713604091,Ruby home,lighting,lighting,True,FORM,19,7,10,2,0.0,0.0,GET_QUOTE,Reach out to get your free Permanent Lighting Quote | Permanent Lighting | we install Permanent Lighting to bring your home back to life!
829690736894004,Scrubz Cleaning,cleaning,cleaning,True,FORM,19,9,10,0,0.0,0.0,GET_QUOTE,{{product.brand}} | {{product.name}} | {{product.description}}
368212700808993,Cumberland Coatings,painting,painting,True,RESCUED,15,9,0,6,0.0,0.0,GET_IN_TOUCH,"Knoxville & Surrounding Areas 🏠

20% off on all our Painting Services through the the ENTIRE month of January‼️

Let’s update your home without the hassle or mess!

Call or message us for a free estimate at 865-765-6819.
⭐️5 star rated business
‼️Fully Licensed & Insured | Get a Free Estimate"
821388184391028,Terra Nova Roofing,roofing,roofing,True,RESCUED,13,7,0,6,0.0,0.0,LEARN_MORE,"Affordable New Roof! 
That's crazy.

Roofs are like 15k usually.

Right?

Sort of…

But not really.

It has to do with the size, the difficulty, and the materials.

Thing is…

There's a fair price.

And there's pricing that's so insanely ridiculous that I don't know how these roofing contractors sleep at night.

My name is David and I own Terra Nova Roofing.

Here's how I run my business:

First and foremost, I do amazing work.

I don't settle for anything less.

No corner cutting.

No junky mat"
113821070472428,Rombyk painting llc,painting,painting,True,RESCUED,7,7,0,0,0.0,0.0,INSTAGRAM_MESSAGE,#kitsapcounty  #bainbridgeisland #gigharbor #bainbridge #downtownbainbridge
