page_id,page_name,page_category,total_ads,active_ads,distinct_collations,new_ads_30d,always_on_share,creative_refresh_rate,share_message,share_call,share_form,share_web,dominant_cta,page_like_count,platform_count,platforms,ad_texts_combined,domains,has_carousel,has_video,signal_strength,has_business_name,has_consult_ad
821388184391028,Terra Nova Roofing,,2,2,1,2,0.0,0.5,0.0,0.0,0.0,1.0,LEARN_MORE,5,0,[],"Affordable New Roof! 
That's crazy.

Roofs are like 15k usually.

Right?

Sort of…

But not really.

It has to do with the size, the difficulty, and the materials.

Thing is…

There's a fair price.

And there's pricing that's so insanely ridiculous that I don't know how these roofing contractors sleep at night.

My name is David and I own Terra Nova Roofing.

Here's how I run my business:

First and foremost, I do amazing work.

I don't settle for anything less.

No corner cutting.

No junky materials.

And I only work with my crews.

But there's more…

Because I'm a small company that I run really well, I don't have a ton of overhead.

Unlike the big bloated companies who have fancy offices and TV commercials and billboards…

Guess who pays for all of that?

Yup... YOU.

That's not at all how I roll.

So, I can do something really awesome:

I can do amazing work.

Install roofs that are gorgeous and protect your home.

WITHOUT charging you 200% more than it should really cost.

The best work, the best materials, at fair prices.

So you can not only have peace of mind, but also save money.

Simple.

Click ""Learn More"" To Get A FREE Estimate! | Affordable New Roof! 
That's crazy.

Roofs are like 15k usually.

Right?

Sort of…

But not really.

It has to do with the size, the difficulty, and the materials.

Thing is…

There's a fair price.

And there's pricing that's so insanely ridiculous that I don't know how these roofing contractors sleep at night.

My name is David and I own Terra Nova Roofing.

Here's how I run my business:

First and foremost, I do amazing work.

I don't settle for anything less.

No corner cutting.

No junky materials.

And I only work with my crews.

But there's more…

Because I'm a small company that I run really well, I don't have a ton of overhead.

Unlike the big bloated companies who have fancy offices and TV commercials and billboards…

Guess who pays for all of that?

Yup... YOU.

That's not at all how I roll.

So, I can do something really awesome:

I can do amazing work.

Install roofs that are gorgeous and protect your home.

WITHOUT charging you 200% more than it should really cost.

The best work, the best materials, at fair prices.

So you can not only have peace of mind, but also save money.

Simple.

Click ""Learn More"" To Get A FREE Estimate! | Low Affordable Roof No BS | Low Affordable Roof No BS","[""fb.me""]",False,True,2,True,True
2047497128815624,Lance C. Greenberg,,5,5,3,5,0.0,0.6,0.0,0.0,0.0,1.0,LEARN_MORE,263,0,[],"Predictable qualified leads…

That's what scales your business.

I've seen it over and over again across hundreds of businesses.

A business spends $100k, $200k, $400k on leads that will never close.. Then they install a Qualified Lead System and they scale their business profitably.

I'll help you install this system to increase your lead quality basically over night, and give you a strategy and system to scale your advertising past 7 figures while removing yourself from the process.

Most of my clients have media buyers or agencies, but they don’t typically come with a scaling strategy.

They focus on cost per lead, but that doesn't put qualified leads on your closers' calendars, and any feedback just leads the marketing team to point fingers toward sales.

Which pulls you back in the weeds and out of solving higher level problems in your business.

This isn't always the advertisers fault, and you might not have to fire them.

But this doesn't fix itself, and the stakes get higher the longer you wait.

Good news is right now.. it’s way easier to get higher lead quality than it’s ever been.

You just need to install a Qualified Lead System for driving qualified leads predictably.

Once you have that, it gives you the stability to identify the real bottlenecks in your business, and map out a plan to scale over the next 6-12 months.

Book a call if you want me to help you with it.
➡️ https://www.lancecgreenberg.com/work-with-lance

— Lance C. Greenberg | Influencing the AI to target affluent, high-ticket buyers predictably…

That's what scales your business.

I've seen it over and over again across hundreds of businesses.

A business spends $100k, $200k, $400k on leads that will never close.. Then they install Influence OS and they scale their business profitably.

I'll help you install this system to increase your lead quality basically over night, and give you a strategy and system to scale your advertising past 7 figures while removing yourself from the process.

Most of my clients have media buyers or agencies, but they don't typically come with a scaling strategy.

They focus on cost per lead, but that doesn't put qualified leads on your closers' calendars, and any feedback just leads the marketing team to point fingers toward sales.

Which pulls you back in the weeds and out of solving higher level problems in your business.

This isn't always the advertisers fault, and you might not have to fire them.

But this doesn't fix itself, and the stakes get higher the longer you wait.

Good news is right now.. it's way easier to get higher lead quality than it's ever been.

You just need a system for driving qualified leads predictably. (without you micro managing it)

Once you have that, it gives you the stability to identify the real bottlenecks in your business, and map out a plan to scale over the next 6-12 months.

If low lead quality’s keeping your high ticket business from scaling...

We're going to change that right now, starting with one high leverage conversation.

Tap the link to book in a spot on my calendar, and I'll walk you through exactly how it works.
➡️ https://www.lancecgreenberg.com/work-with-lance

- Lance C. Greenberg | Influencing the AI to target affluent, high-ticket buyers predictably…

That's what scales your business.

I've seen it over and over again across hundreds of businesses.

A business spends $100k, $200k, $400k on leads that will never close.. Then they install Influence OS and they scale their business profitably.

I'll help you install this system to increase your lead quality basically over night, and give you a strategy and system to scale your advertising past 7 figures while removing yourself from the process.

Most of my clients have media buyers or agencies, but they don't typically come with a scaling strategy.

They focus on cost per lead, but that doesn't put qualified leads on your closers' calendars, and any feedback just leads the marketing team to point fingers toward sales.

Which pulls you back in the weeds and out of solving higher level problems in your business.

This isn't always the advertisers fault, and you might not have to fire them.

But this doesn't fix itself, and the stakes get higher the longer you wait.

Good news is right now.. it's way easier to get higher lead quality than it's ever been.

You just need a system for driving qualified leads predictably. (without you micro managing it)

Once you have that, it gives you the stability to identify the real bottlenecks in your business, and map out a plan to scale over the next 6-12 months.

If low lead quality’s keeping your high ticket business from scaling...

We're going to change that right now, starting with one high leverage conversation.

Tap the link to book in a spot on my calendar, and I'll walk you through exactly how it works.
➡️ https://www.lancecgreenberg.com/work-with-lance

- Lance C. Greenberg | Predictable qualified leads…

That's what scales your business.

I've seen it over","[""lancecgreenberg.com""]",False,True,1,False,True
112251220174933,"Eric Aragon, CPA",,5,5,0,5,0.0,0.0,0.0,0.0,0.0,1.0,LEARN_MORE,1036,0,[],"One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System","[""go.aragonadvisors.com""]",False,False,1,True,False
468314626373408,The Auto Deal Spot,,4,4,2,4,0.0,0.5,0.0,0.0,0.0,1.0,LEARN_MORE,2,0,[],"Learn more about the new Hyundai Tucson and discover how to enjoy its capability, comfort, and modern features without breaking the bank. Follow the link to read the guide. | Learn more about the new Hyundai Tucson and discover how to enjoy its capability, comfort, and modern features without breaking the bank. Follow the link to read the guide. | Learn more about the new Hyundai Tucson and discover how to enjoy its capability, comfort, and modern features without breaking the bank. Follow the link to read the guide. | Learn more about the new Hyundai Tucson and discover how to enjoy its capability, comfort, and modern features without breaking the bank. Follow the link to read the guide. | Hyundai Tucson 2026 Deals: Info Guide | Hyundai Tucson 2026 Deals: Info Guide | Hyundai Tucson 2026 Deals: Info Guide | Hyundai Tucson 2026 Deals: Info Guide | Hunting for the best 2026 Hyundai Tucson deals? Here’s how to compare lease, finance, and hybrid offers with confidence. We’ll clarify out‑the‑door pricing, money factors, promotional APRs, comparison rates, business‑use options, residuals, and pre‑qualification—so you can pick the rig... | Hunting for the best 2026 Hyundai Tucson deals? Here’s how to compare lease, finance, and hybrid offers with confidence. We’ll clarify out‑the‑door pricing, money factors, promotional APRs, comparison rates, business‑use options, residuals, and pre‑qualification—so you can pick the rig... | Hunting for the best 2026 Hyundai Tucson deals? Here’s how to compare lease, finance, and hybrid offers with confidence. We’ll clarify out‑the‑door pricing, money factors, promotional APRs, comparison rates, business‑use options, residuals, and pre‑qualification—so you can pick the rig... | Hunting for the best 2026 Hyundai Tucson deals? Here’s how to compare lease, finance, and hybrid offers with confidence. We’ll clarify out‑the‑door pricing, money factors, promotional APRs, comparison rates, business‑use options, residuals, and pre‑qualification—so you can pick the rig...","[""boiteascoop.com""]",False,False,1,True,False
115561387020873,The Junkster,,2,2,1,2,0.0,0.5,0.0,0.0,0.0,1.0,LEARN_MORE,359,0,[],"South Jersey Residents 🏠

Do you need junk removed? 

Let our friendly team of professionals do the heavy lifting so you don't have to!

Here are just a few of the services that we offer:

✅ Property Cleanouts
✅ Mattress Removal
✅ Appliance Removal 
✅ Furniture Removal
✅ Hot Tub Removal
✅ Storage Unit Cleanouts

⭐⭐⭐⭐⭐
5-Star Gibbsboro locally owned and operated business here to clear that clutter for you!

Take advantage of our special offer of $20 off while it's available! 👇🏼 | South Jersey Residents 🏠

Do you need junk removed? 

Let our friendly team of professionals do the heavy lifting so you don't have to!

Here are just a few of the services that we offer:

✅ Property Cleanouts
✅ Mattress Removal
✅ Appliance Removal 
✅ Furniture Removal
✅ Hot Tub Removal
✅ Storage Unit Cleanouts

⭐⭐⭐⭐⭐
5-Star Gibbsboro locally owned and operated business here to clear that clutter for you!

Take advantage of our special offer of $20 off while it's available! 👇🏼 | Get Your Free Estimate Today! | Get Your Free Estimate Today!","[""fb.com""]",False,True,1,False,True
210305678999899,"Glass Doctor of Livonia, MI",,2,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,LEARN_MORE,469,0,[],"Windshield chip? Broken window? Glass Doctor offers quick, expert glass repair for your car, home, or business. Wherever you need us, we’re ready to help. Click 'Learn More' for fast, reliable service! | Foggy windows? Glass Doctor offers quick, expert glass repair for your home or business. Wherever you need us, we’re ready to help. Click 'Learn More' for fast, reliable service! | Call for Expert Glass Repair | Call for Expert Glass Repair | The Qualified & Insured Experts at Glass Doctor of Livonia, MI Service Home, Business + Auto Glass Repairs and Replacements. Call (248) 471-5087!","[""glassdoctor.com""]",False,True,1,True,False
17007508279,University of Pittsburgh School of Business,,2,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,LEARN_MORE,7641,0,[],{{product.brand}} | {{product.brand}} | {{product.name}} | {{product.name}} | {{product.description}} | {{product.description}},"[""business.pitt.edu""]",True,False,1,True,False
103880159089517,Home Grown Business,,2,2,1,2,0.0,0.5,0.0,0.0,0.0,1.0,VIEW_INSTAGRAM_PROFILE,117,0,[],"HG Uniform Sweats Releasing Friday 1/23 at 1200 PST. 

Only 100 pcs are Premade. Once the premade sellout all remaining orders will be preorder and will ship within 2-3 weeks. Highly suggest getting on our SMS Early Access to secure the premade pair! 

Sweats available in Vintage Black & Vintage Navy

Both models wearing size M | HG Uniform Sweats Releasing Friday 1/23 at 1200 PST. 

Only 100 pcs are Premade. Once the premade sellout all remaining orders will be preorder and will ship within 2-3 weeks. Highly suggest getting on our SMS Early Access to secure the premade pair! 

Sweats available in Vintage Black & Vintage Navy

Both models wearing size M","[""instagram.com""]",True,False,1,True,False
643763915491306,Bayridge Advisory,,2,2,2,2,0.0,1.0,0.0,0.0,0.0,1.0,LEARN_MORE,2,0,[],"❗Life Insurance Agents & Agencies Selling Mortgage Protection Writing $10K+/Month❗

👉 In the next 30 days, we’ll flood your pipeline with qualified, exclusive, high-intent mortgage protection prospects and - you ONLY PAY PER QUALIFIED LEAD.

No retainers. No contracts. No upfront risk.

You only pay for verified homeowners actively requesting coverage.

Click “Learn More” to apply to work with us and book a quick call.

💭 Imagine if motivated homeowners came to you every week instead of dealing with:
 ❌ Old or recycled leads
 ❌ Low-intent Facebook forms
 ❌ Retainers that never ROI
 ❌ Chasing homeowners who never answer

✅ Homeowners OTP verified
✅ Mortgage status & intent pre-qualified
✅ AI follow-up + appointment setting
✅ Pay-as-you-go — scale when you want

📈 Here’s what’s possible:
🥇 Brandon scaled from $18K to $41K/month in AP in under 20 days using exclusive AI-qualified leads
🥈 Tony scaled to $22.4k/m with our leads
🥉 Kelly hit $6k in new AP's in just 2 days with our leads

Click “Learn More,” fill out the quick form, and book a short call to see if your territory is available.

We only work with one agent per area to guarantee exclusivity. ⬇️⬇️⬇️⬇️ | ❗Life Insurance Agents & Agencies Selling Mortgage Protection Writing $10K+/Month❗

👉 In the next 30 days, we’ll flood your pipeline with qualified, exclusive, high-intent mortgage protection prospects and - you ONLY PAY PER QUALIFIED LEAD.

No retainers. No contracts. No upfront risk.

You only pay for verified homeowners actively requesting coverage.

Click “Learn More” to apply to work with us and book a quick call.

💭 Imagine if motivated homeowners came to you every week instead of dealing with:
 ❌ Old or recycled leads
 ❌ Low-intent Facebook forms
 ❌ Retainers that never ROI
 ❌ Chasing homeowners who never answer

✅ Homeowners OTP verified
✅ Mortgage status & intent pre-qualified
✅ AI follow-up + appointment setting
✅ Pay-as-you-go — scale when you want

📈 Here’s what’s possible:
🥇 Brandon scaled from $18K to $41K/month in AP in under 20 days using exclusive AI-qualified leads
🥈 Tony scaled to $22.4k/m with our leads
🥉 Kelly hit $6k in new AP's in just 2 days with our leads

Click “Learn More,” fill out the quick form, and book a short call to see if your territory is available.

We only work with one agent per area to guarantee exclusivity. ⬇️⬇️⬇️⬇️ | Only Pay Per Qualified & High Intent Leads | Only Pay Per Qualified & High Intent Leads","[""fb.me""]",False,True,1,True,False
103348935230170,Jet Gang Watersports,,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,LEARN_MORE,10664,0,[],"Starting at $25,000. Purchase a Jet Car for business or personal use! | Get a quote today!",[],False,True,1,False,True
